 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,221.028,18331.433
2,0.000,0,0,0,354.295,18578.044
3,0.000,255,255,255,607.828,20550.932
4,0.000,255,255,255,776.849,20879.747
5,0.000,255,255,255,1043.383,24332.302
6,0.000,0,0,0,1173.400,24661.117
7,0.000,255,255,255,1459.436,28113.672
8,0.000,0,0,0,1595.954,28113.672
9,0.000,0,0,0,1836.484,29757.746
10,0.000,192,192,192,1999.005,29757.746
11,0.000,255,255,255,2259.038,31730.634
12,0.000,255,255,255,2428.060,32059.449
13,0.000,0,0,0,2707.595,34689.967
14,0.000,255,255,255,2863.615,34525.560
15,0.000,0,0,0,3136.650,36498.448
16,0.000,255,255,255,3299.171,36498.448
17,0.000,255,255,255,3481.194,38306.929
18,0.000,0,0,0,3643.715,38471.337
